3,user1,name1,surname1,2018-01-12,user1@wavesound.unipd,0,user,default-profile.png
4,user2,name2,surname2,2018-01-13,user2@wavesound.unipd,0,user,default-profile.png
5,user3,name3,surname3,2018-01-14,user3@wavesound.unipd,0,user,default-profile.png
6,user4,name4,surname4,2018-01-15,user4@wavesound.unipd,0,user,default-profile.png
7,user5,name5,surname5,2018-01-16,user5@wavesound.unipd,0,user,default-profile.png
8,user6,name6,surname6,2018-01-17,user6@wavesound.unipd,0,user,default-profile.png
9,user7,name7,surname7,2018-01-18,user7@wavesound.unipd,0,user,default-profile.png
10,user8,name8,surname8,2018-01-19,user8@wavesound.unipd,0,user,default-profile.png
11,user9,name9,surname9,2018-01-20,user9@wavesound.unipd,0,user,default-profile.png
12,user10,name10,surname10,2018-01-21,user10@wavesound.unipd,0,user,default-profile.png
13,admin1,name11,surname11,2018-01-22,admin1@wavesound.unipd,1,admin,default-profile.png
14,admin2,name12,surname12,2018-01-23,admin2@wavesound.unipd,1,admin,default-profile.png
15,admin3,name13,surname13,2018-01-24,admin3@wavesound.unipd,1,admin,default-profile.png
16,admin4,name14,surname14,2018-01-25,admin4@wavesound.unipd,1,admin,default-profile.png
17,admin5,name15,surname15,2018-01-26,admin5@wavesound.unipd,1,admin,default-profile.png
